Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2024-09-03,69950.5390625,71687.2421012931,69950.5390625,71494.27509698276,16314599
2024-09-04,67538.4453125,68599.76373883929,67345.47832589287,67345.47832589287,27366563
2024-09-05,66573.6171875,68696.25425724637,66573.6171875,67634.9357223732,25686769
2024-09-06,66477.1328125,67249.00082773948,65608.78129535558,66670.09981630987,19022299
2024-09-09,65126.359375,65801.7438425926,64258.00791666667,64547.45840277778,23263298
2024-09-10,63872.0859375,64933.40458600831,63679.118910498495,64643.95404550605,30651376
2024-09-11,62617.796875,63196.697924691834,61942.412317026196,62810.76389156394,35809707
2024-09-12,63968.5703125,64258.02085690045,62907.25164969834,63679.11976809955,35884106
2024-09-13,62135.375,63196.69351708074,62038.8914984472,62714.27600931677,25045135
2024-09-19,60881.09375,62135.37935816165,60012.74217511886,61749.44532488114,49402713
2024-09-20,60784.6171875,62424.83701636905,60784.6171875,61556.485342261905,32746056
2024-09-23,60398.67578125,61267.027349990014,60012.74175069888,60109.225258336664,28542376
2024-09-24,60977.578125,61170.54514438291,60205.710047468354,60591.64408623418,26957500
2024-09-25,60012.73828125,61942.40832244775,60012.73828125,61556.4743142082,28652438
2024-09-26,62424.83203125,62617.79905453053,61459.996914847376,61652.9639381279,37566015
2024-09-27,62289.96484375,63454.26325204439,62289.96484375,62775.089180539326,28433030
2024-09-30,59670.29296875,62386.9892339939,59670.29296875,62289.964367378045,32694163
2024-10-02,59476.24609375,60058.39532142129,58117.89789585032,58700.04712352161,28473536
2024-10-04,58797.0703125,59864.34386602723,58700.04544399752,59185.1697865099,24247578
2024-10-07,59185.171875,60058.39572233606,57729.79879610656,58408.97289959016,35066533
2024-10-08,58505.99609375,59185.17017775705,58117.89661717454,58214.92148631841,27411786
2024-10-10,57147.64453125,58408.96775519949,57147.64453125,58311.94289181876,45262214
2024-10-11,57535.74609375,58311.945029247465,57244.67149293845,57341.69635987563,29623969
2024-10-14,57535.74609375,59379.21856555649,57632.77096068718,57729.795827624366,20886249
2024-10-15,59185.171875,59573.271362704916,58311.94802766393,59282.19674692623,22715239
2024-10-16,57729.796875,58214.9212184874,57438.722268907564,57632.77200630252,23303268
2024-10-17,57923.84765625,58311.947138033924,57341.69843357412,57632.773044912065,23372873
2024-10-18,57438.72265625,58311.94648041596,57341.69778689822,58117.896741712415,14420260
2024-10-21,57244.67578125,57826.82502648305,56759.551410222455,57244.67578125,18514905
2024-10-22,55983.34765625,57147.64604771447,55983.34765625,57050.6211817591,27582527
2024-10-23,57341.69921875,58214.92306472081,55401.201783259305,55789.30127035744,27300780
2024-10-24,54916.07421875,56759.54667485645,54916.07421875,56468.47207652385,31499922
2024-10-25,54236.90625,55207.155020125225,54139.881372987475,54333.93112701252,25829315
2024-10-28,56371.44921875,56759.548697020226,54042.852349128654,54042.852349128654,27775009
2024-10-29,57826.8203125,57826.8203125,55595.24838768876,56274.42245176175,28369314
2024-10-30,57341.69921875,58020.87332117174,56856.57485987732,57341.69921875,19838511
2024-10-31,57438.72265625,59379.22004328547,56565.498832084035,56759.548570787585,35809196
2024-11-01,56565.49609375,57826.819334262436,56371.446364440395,57244.67014633362,19083180
2024-11-04,56953.59765625,57632.771733922484,56662.523051533215,56856.57278801107,15586947
2024-11-05,55886.32421875,56371.44856092665,55498.22474500868,56080.37395562066,17484474
2024-11-06,55595.2578125,56274.4319917103,54625.008985056724,55886.332460732985,22092218
2024-11-07,55595.2578125,56371.45687445463,55110.13339877836,55207.15828152269,17043102
2024-11-08,55304.171875,56565.49509320175,55304.171875,56274.42050438596,13877396
2024-11-11,53363.671875,55110.119318181816,53363.671875,55013.09446022727,29811326
2024-11-12,51423.18359375,52975.58158903302,51423.18359375,52975.58158903302,37962881
2024-11-13,49094.578125,51423.17471590909,48997.553267045456,50452.92613636363,52527995
2024-11-14,48415.40625,50258.878632264525,48415.40625,48706.48083667334,48510715
2024-11-15,51908.30078125,52587.47481016355,48803.50522050233,48803.50522050233,46774485
2024-11-18,55013.09375,55789.29260361552,54236.89489638448,55304.16832010582,48095234
2024-11-19,54625.0,55789.29840142096,54236.90053285968,54819.049733570166,31539632
2024-11-20,53654.74609375,54819.04438149864,53169.621807188065,54430.9449522491,20864667
2024-11-21,54722.0234375,55207.14775875443,53072.60074523493,53266.6504737367,19096850
2024-11-22,54333.92578125,55013.099853515625,54236.90091378349,54333.92578125,15281543
2024-11-25,56177.3984375,56177.3984375,55013.10002428757,55692.27409866149,36237325
2024-11-26,56565.49609375,57147.645281678815,55789.29717651158,56177.39663513079,23209405
2024-11-27,54625.0,56080.3730017762,54333.925399644766,55983.34813499112,21808387
2024-11-28,53848.8046875,54722.0285472973,53557.730067567565,54333.92905405405,20001134
2024-11-29,52587.4765625,53654.75007207103,52199.377104474166,53460.70034305812,24513531
2024-12-02,52005.33203125,52781.53101679105,51520.20766528685,52684.50614359842,22044867
2024-12-03,52005.33203125,52781.53101679105,51520.20766528685,51520.20766528685,23374603
